timestamp,participant_id,trial_number,method,expected_value,entered_value,correct,timeTaken_ms
2025-10-28T15:39:25.556273,sadulla,1,calendar,2025-01-15,2025-10-01,0,2997.300000011921
2025-10-28T15:39:31.378790,sadulla,2,calendar,2025-02-20,2025-10-16,0,5830.5999999940395
2025-10-28T15:39:57.780700,sadulla,3,calendar,2025-03-10,2025-10-10,0,26396.40000000596
2025-10-28T15:40:28.533506,sadulla,4,calendar,2025-03-25,2025-10-24,0,30748.90000000596
2025-10-28T15:40:35.037247,sadulla,5,calendar,2025-04-12,2025-10-03,0,6497.200000017881
2025-10-28T15:40:55.067720,sadulla,6,manual,2025-05-05,2025-12-12,0,9883.800000011921
2025-10-28T15:41:30.776872,sadulla,7,hybrid,2025-06-01,2025-10-08,0,15581.700000017881
2025-10-28T15:41:52.834657,sadulla,8,hybrid,2025-07-04,2025-10-28,0,22047.09999999404
